Country,Year_Month,New_cases,New_deaths,Cumulative_cases,Cumulative_deaths,Date_reported_x,Country_code_x,WHO_region_x,Date_reported_y,Country_code_y,WHO_region_y,Date_reported,Country_code,WHO_region,Health_Coverage_Index,Median_Age,Urban_Population_Share,Region,Temperature (°C),Relative Humidity (%),Ozone Concentration (ppb),Cases per Million
Algeria,2020-01,0.0,0.0,0,0,2020-01-01,DZ,,2020-01-01,DZ,,2020-01-01,DZ,,68.57142857142857,19.459945945945947,30.44014804157619,North Africa,32.09173892589092,64.82593006888,48.70134698955625,0.0
Algeria,2020-02,0.0,0.0,0,0,2020-02-01,DZ,,2020-02-01,DZ,,2020-02-01,DZ,,68.57142857142857,19.459945945945947,30.44014804157619,North Africa,26.982823318309954,52.672388160260006,48.42729007516559,0.0
Algeria,2020-03,454.0,30.0,454,30,2020-03-01,DZ,,2020-03-01,DZ,,2020-03-01,DZ,,68.57142857142857,19.459945945945947,30.44014804157619,North Africa,30.02440360422881,59.065885915079996,50.559814390203165,454.0
Algeria,2020-04,2802.0,386.0,3256,416,2020-04-01,DZ,,2020-04-01,DZ,,2020-04-01,DZ,,68.57142857142857,19.459945945945947,30.44014804157619,North Africa,25.305319196722422,48.93432922656,49.535351689464115,2802.0
Algeria,2020-05,6011.0,227.0,9267,643,2020-05-01,DZ,,2020-05-01,DZ,,2020-05-01,DZ,,68.57142857142857,19.459945945945947,30.44014804157619,North Africa,24.446425534366227,46.853058457399996,48.832644301655,6011.0
Algeria,2020-06,3701.0,237.0,12968,880,2020-06-01,DZ,,2020-06-01,DZ,,2020-06-01,DZ,,68.57142857142857,19.459945945945947,30.44014804157619,North Africa,29.21349283282666,54.253657378519996,49.605623133358904,3701.0
Algeria,2020-07,13796.0,254.0,26764,1134,2020-07-01,DZ,,2020-07-01,DZ,,2020-07-01,DZ,,68.57142857142857,19.459945945945947,30.44014804157619,North Africa,35.87435887368869,67.70752749687999,51.93196547010343,13796.0
Algeria,2020-08,17018.0,355.0,43782,1489,2020-08-01,DZ,,2020-08-01,DZ,,2020-08-01,DZ,,68.57142857142857,19.459945945945947,30.44014804157619,North Africa,33.88319662715588,64.57351117388,52.41989333370931,17018.0
Algeria,2020-09,7132.0,220.0,50914,1709,2020-09-01,DZ,,2020-09-01,DZ,,2020-09-01,DZ,,68.57142857142857,19.459945945945947,30.44014804157619,North Africa,23.714481996686203,44.5128242901,49.42522894687888,7132.0
Algeria,2020-10,4716.0,188.0,55630,1897,2020-10-01,DZ,,2020-10-01,DZ,,2020-10-01,DZ,,68.57142857142857,19.459945945945947,30.44014804157619,North Africa,26.90614061677053,50.73658376408,49.165867320870134,4716.0
Algeria,2020-11,25582.0,496.0,81212,2393,2020-11-01,DZ,,2020-11-01,DZ,,2020-11-01,DZ,,68.57142857142857,19.459945945945947,30.44014804157619,North Africa,25.349405095818298,48.572912268079996,47.56205496224548,25582.0
Algeria,2020-12,16645.0,329.0,97857,2722,2020-12-01,DZ,,2020-12-01,DZ,,2020-12-01,DZ,,68.57142857142857,19.459945945945947,30.44014804157619,North Africa,29.45140307137123,59.4499262293,47.791564826143315,16645.0
Algeria,2021-01,9265.0,166.0,107122,2888,2021-01-01,DZ,,2021-01-01,DZ,,2021-01-01,DZ,,68.57142857142857,19.459945945945947,30.44014804157619,North Africa,32.70951628952872,70.82905566052,49.155781229008305,9265.0
Algeria,2021-02,5838.0,91.0,112960,2979,2021-02-01,DZ,,2021-02-01,DZ,,2021-02-01,DZ,,68.57142857142857,19.459945945945947,30.44014804157619,North Africa,21.98787972096639,44.77204651612,47.115899270578296,5838.0
Algeria,2021-03,3790.0,98.0,116750,3077,2021-03-01,DZ,,2021-03-01,DZ,,2021-03-01,DZ,,68.57142857142857,19.459945945945947,30.44014804157619,North Africa,29.07988156093637,57.73051930956,50.36812499486004,3790.0
